,t,V
0,0,0.0
1,1,0.0082705
2,2,0.024811435998610198
3,3,0.04962260343892028
4,4,0.08270366282570867
5,5,0.12405413897314022
6,6,0.17367342097948732
7,7,0.23156076224056096
8,8,0.2977152804750316
9,9,0.3721359577571426
10,10,0.4548216405556547
11,11,0.5457710397786356
12,12,0.6449827308239431
13,13,0.7524551536353337
14,14,0.8681866127641599
15,15,0.9921752774366379
16,16,1.1244191816266702
17,17,1.2649162241342136
18,18,1.413664168669185
19,19,1.570660643940896
20,20,1.7359031437530084
21,21,1.9093890271040048
22,22,2.0911155182931664
23,23,2.281079707032048
24,24,2.479278548561444
25,25,2.6857088637738387
26,26,2.9003673393413267
27,27,3.123250527849
28,28,3.3543548479337897
29,29,3.5936765844287515
30,30,3.841211888512787
31,31,4.096956777865788
32,32,4.360907136829198
33,33,4.633058716571967
34,34,4.913407135261906
35,35,5.201947878242413
36,36,5.498676298214566
37,37,5.803587615424569
38,38,6.116676917856542
39,39,6.437939161430624
40,40,6.7673691702064
41,41,7.104961636591621
42,42,7.450711121556207
43,43,7.804612054851516
44,44,8.166658735234867
45,45,8.536845330699295
46,46,8.915165878708533
47,47,9.301614286437196
48,48,9.696184331016141
49,49,10.098869659783013
50,50,10.509663790537926
51,51,10.928560111804297
52,52,11.355551883094769
53,53,11.790632235182258
54,54,12.233794170376061
55,55,12.685030562803025
56,56,13.144334158693754
57,57,13.611697576673839
58,58,14.087113308060085
59,59,14.570573717161704
60,60,15.062071041586483
61,61,15.561597392551871
62,62,16.069144755200984
63,63,16.584704988923505
64,64,17.108269827681447
65,65,17.639830880339762
66,66,18.179379631001776
67,67,18.726907439349418
68,68,19.28240554098823
69,69,19.845865047797123
70,70,20.41727694828287
71,71,20.996632107939284
72,72,21.5839212696111
73,73,22.179135053862474
74,74,22.782263959350143
75,75,23.39329836320117
76,76,24.01222852139525
77,77,24.63904456915161
78,78,25.273736521320366
79,79,25.91629427277843
80,80,26.56670759882986
81,81,27.224966155610648
82,82,27.89105948049793
83,83,28.564976992523565
84,84,29.246707992792096
85,85,29.936241664903
86,86,30.63356707537728
87,87,31.338673174088274
88,88,32.05154879469676
89,89,32.772182655090205
90,90,33.50056335782628
91,91,34.23667939058043
92,92,34.98051912659761
93,93,35.73207082514814
94,94,36.49132263198754
